record_id,study_label,title,year,journal,doi,tumor_site,tumor_site_detail,study_design,data_source,data_source_detail,n_analytic,n_unit,data_modality,data_modality_detail,ai_task,algorithm,input_features,biomarker_result,clinical_purpose,performance_metric,performance_value,validation_level,validation_detail,code_availability,data_availability,reporting_guideline,funding,conflicts_of_interest,key_finding,limitations_as_stated,other_key_outcomes,extractor_id,extracted_at,extraction_status,extraction_note,needs_review,pilot_batch
REC-AIBIOGU-000001,Wang2026,Identification of interleukin-11 as a comorbid risk factor for prostate cancer and Alzheimer's disease using integrated bioinformatics and machine learning.,2026,Front Immunol,10.3389/fimmu.2026.1911726,prostate,,translational/bioinformatic (multi-cohort transcriptomics + ML gene prioritization + in vitro/in vivo functional validation + ADNI cross-sectional cohort),multiple_public,"AD: GSE48350, GSE5281, GSE28146 (GEO); PCa training: TCGA-PRAD (n=499 tumor+52 normal); PCa external validation: DKFZ2018 (n=321), MSKCC (n=140), GSE116918 (n=257), GSE21034 (n=131), GSE107299 (n=106); single-cell: GSE141445 (13 PCa tissues); ADNI cohort (n=215) for serum IL11-CSF biomarker cross-sectional analysis",499,patients,transcriptomics,"bulk RNA-seq (TCGA-PRAD) + microarray (GEO AD datasets, DKFZ2018, MSKCC, GSE cohorts); scRNA-seq (GSE141445) for cell-of-origin localization",prognostic_prediction,"Random Forest (classification, AD vs control) + LASSO Cox regression (survival, TCGA-PRAD); WGCNA for module/gene discovery upstream","10-gene AD-PCa comorbidity signature (NDRG4, ISG15, IL11, ENO2, DYNC1I1, DNASE1, ATP6V1G2, ATCAY, ANLN, AGAP9) derived from intersection of DEGs and WGCNA modules shared between AD and PCa",10-gene AD-PCa comorbidity risk score signature anchored by IL11,prognostic,AUC,"Time-dependent AUC for PCa progression-free interval (TCGA-PRAD training): 1-yr 0.78, 3-yr 0.73, 5-yr 0.70; log-rank P<0.001. External validation: DKFZ2018 log-rank P=0.001 (AUC>0.8 for 3-/5-yr); MSKCC log-rank P=0.023.",external_cohort,"Risk score formula and cutoff (derived in TCGA-PRAD) applied unchanged to two independent external PCa cohorts, DKFZ2018 (n=321) and MSKCC (n=140); no indication of re-fitting, consistent with genuine external validation.",NR,yes,none_stated,NR,NR,"IL11 was the top-ranked gene in a 10-gene AD-PCa comorbidity risk score that stratifies PCa progression-free survival (AUC 0.78/0.73/0.70 at 1/3/5-yr, TCGA-PRAD; validated in DKFZ2018 and MSKCC); functionally, IL11 promoted PCa growth/invasion (in vitro/in vivo) and induced AD-like cognitive dysfunction and hippocampal amyloid-beta deposition in mice, with corroborating serum-CSF associations in a 215-participant ADNI cross-sectional cohort.",NR (not captured in extracted Abstract/Intro/Methods/partial Results excerpt; Discussion/Limitations section not reached in pilot .txt),"Primary manuscript emphasis is mechanistic/translational (IL11 as bidirectional PCa-AD comorbidity driver, validated via murine orthotopic/subcutaneous xenografts, Morris water maze cognitive testing, and immunofluorescence); the ML risk-score model functions mainly as a gene-prioritization/discovery tool rather than as a standalone clinical prediction target. Single-cell analysis localized IL11 to CAFs (Fibro_IL11+) with distinct EMT/immunosuppressive pathway activation.",REV-ALCIDES-AI,2026-09-23,needs_review,"Scope borderline per inherited appraisal_note (AD comorbidity focus vs GU biomarker scope): study is primarily a dual-disease mechanistic/functional paper; the prognostic ML signature is a secondary discovery output rather than the central clinical-prediction contribution. Funding/COI/limitations not present in the read excerpt (pp.1-12); would need full PDF read past Results to confirm, not done here since these are not minimum-for-complete fields.",yes,pilot
REC-AIBIOGU-000002,Chen2026,Machine learning-based identification of hub genes and prognostic biomarkers in prostate cancer.,2026,Front Genet,10.3389/fgene.2026.1877595,prostate,,"Retrospective TCGA-PRAD bioinformatics with WGCNA, ML BCR prognostic model, and in vitro cell-line qRT-PCR/ELISA validation",TCGA,TCGA-PRAD RNA-seq (501 primary tumor + 52 normal); 70/30 stratified train/holdout split for model evaluation,501,patients,transcriptomics,Bulk RNA-seq log2(CPM+1),prognostic_prediction,LASSO Cox (10-fold CV) and random forest consensus; SVM and XGBoost compared,"WGCNA/PPI hub genes EZH2, CDK1, AURKA (three-gene risk score)","Three-gene BCR risk score (EZH2, CDK1, AURKA)",prognostic,AUC,"Time-dependent AUC 0.821, 0.842, 0.836 at 1/3/5 yr (TCGA-PRAD); HR 3.21 for BCR-free survival (log-rank P<0.0001)",internal_holdout,Single TCGA-PRAD cohort with 70/30 holdout; authors state no independent external validation cohort.,NR,NR,none_stated,NR,NR,A three-gene risk score stratified BCR-free survival with strong time-dependent discrimination and linked hub-high tumors to immunosuppressive infiltration patterns.,Model validated only within TCGA-PRAD; immune infiltration from bulk deconvolution; in vitro validation in cell lines only.,Prognostic nomogram with DCA; qRT-PCR/ELISA confirmation of hub gene overexpression in PCa cell lines.,REV-ALCIDES-AI,2026-09-23,needs_review,Appraisal flags single-cohort TCGA-PRAD design without independent external validation despite thorough internal nomogram/DCA analyses.,yes,batch-01
REC-AIBIOGU-000003,Kurt2026,Integrative Bioinformatics and Machine Learning Analysis Identifies Novel Molecular Biomarkers in Prostate Adenocarcinoma.,2026,Int J Mol Sci,10.3390/ijms27156635,prostate,,Integrative TCGA bioinformatics and hybrid ML gene-prioritization with GEO external validation,multiple_public,"TCGA-PRAD discovery (494 tumor Z-score matrix; nodal N0 vs N1 comparison n=420); external validation GSE14206 (50 samples: 15 normal, 35 PRAD)",420,patients,transcriptomics,TCGA RNA-seq V2 RSEM Z-scores; GSE14206 microarray (GPL570),classification_subtyping,Hybrid GBM+RF ensemble after graph-convolutional feature selection on DEGs,"DEGs from N0 vs N1 nodal comparison (524 DEGs) with ML-prioritized genes including XAF1, APP, PLK1, STAT1",Multi-gene diagnostic/prioritization signature (GBM+RF-selected genes),diagnostic,AUC,TCGA AUC 0.9526 (accuracy 97.49%); GSE14206 external AUC 0.9156 (accuracy 91.53%),external_cohort,Signature evaluated in independent GSE14206 after platform harmonization; authors note limited external sample size.,NR,NR,none_stated,NR,NR,"Hybrid GBM+RF achieved high discrimination on TCGA and retained strong performance on GSE14206, prioritizing cell-cycle and interferon-pathway genes.",No protein or functional validation; GSE14206 validation cohort is small.,"PPI hub emphasis on STAT1 and PLK1; pathway enrichment (GO, KEGG, Reactome).",REV-ALCIDES-AI,2026-09-23,complete,,no,batch-01
REC-AIBIOGU-000004,He2026,A Platform-Independent Binary Gene-Pair Signature Derived from CRPC-Enriched Single-Cell Transcriptomics for Predicting Recurrence-Free Survival in Prostate Cancer.,2026,Cancer Manag Res,10.2147/cmar.s623563,prostate,,scRNA-seq CRPC atlas plus bulk multi-cohort ML RFS signature with Ridge regression selection,public_plus_own,"Training TCGA-PRAD (n=493); external bulk GSE21034, GSE70770, GSE94767, DKFZ, plus AHMU own cohort (n=70); scRNA PRJNA699369 for gene-pool discovery",493,patients,multiomics,scRNA-seq (CRPC-enriched epithelial genes) plus bulk RNA for 36 binary gene-pair Ridge model,prognostic_prediction,Ridge regression selected among 12 algorithms and 104 combinations (10-fold CV for regularized models),36 binary gene-pair features from CRPC/MaligC5-enriched pool,36-gene-pair binary RFS signature,prognostic,C-index,TCGA-PRAD C-index 0.759; mean C-index 0.725 across five external cohorts; TCGA time-dependent AUC 0.787/0.788/0.781 at 1/3/5 yr,external_multicenter,Feature selection restricted to TCGA; five independent external cohorts used only for final evaluation without refitting.,NR,NR,none_stated,Supported by Anhui Province clinical translational and higher-education research grants.,NR,Rank-based gene-pair signature stratified RFS across six cohorts and linked high-risk tumors to immune-inflamed and TP53-altered phenotypes.,scRNA gene pool from one CRPC dataset; immunotherapy associations are hypothesis-generating.,Optional nomogram with T stage and Gleason; virtual knockout highlighted CKS2.,REV-ALCIDES-AI,2026-09-23,complete,Co-primary C-index (model selection) and time-dependent AUC reported; C-index used as performance_metric.,no,batch-01
REC-AIBIOGU-000007,Gan2026,A Hypoxia and Immune Escape-Related Gene Signature for the Diagnosis of Prostate Cancer: An Integrated Bioinformatics Study.,2026,Int J Med Sci,10.7150/ijms.133397,prostate,,Multi-public cohort diagnostic ML signature for hypoxia/immune-escape genes,multiple_public,Model training/test on merged GTEx+TCGA-PRAD (499 tumor + 152 controls); validation GSE88808 and GSE21034,499,patients,transcriptomics,"Bulk RNA-seq/microarray after harmonization (RF, SVM-RFE, LASSO feature selection)",diagnostic_prediction,"Random Forest, SVM-RFE, and LASSO with six-gene diagnostic signature","Six HIERGs: RBMS3, ALDH2, SLC7A11, FGFR2, GDF15, NCAM1",Six-gene hypoxia/immune-escape diagnostic RiskScore signature,diagnostic,AUC,AUC >0.9 reported across test and GEO validation cohorts (abstract),external_cohort,Independent GEO cohorts GSE88808 and GSE21034 used as validation; authors discuss validation limitations in discussion.,NR,NR,none_stated,NR,NR,Six-gene signature showed high diagnostic accuracy with calibration and DCA support across merged TCGA/GTEx and GEO validations.,Authors acknowledge need for further external validation and cautious interpretation of exploratory immune/pathway associations.,Immune infiltration and drug/regulator network analyses tied to RiskScore.,REV-ALCIDES-AI,2026-09-23,needs_review,Appraisal_note states authors explicitly acknowledge lack of external validation as a limitation despite GEO validation cohorts in methods.,yes,batch-01
REC-AIBIOGU-000008,Wang2026,A Metabolic-Related Gene Signature for Predicting Biochemical Recurrence After Radical Prostatectomy: An Integrative Analysis and Targeted Therapeutic Validation.,2026,Int J Mol Sci,10.3390/ijms27114797,prostate,,GEO training/validation BCR prognostic XGBoost-Cox model with WGCNA and own IHC/docking validation,GEO,"Training GSE220095 (n=176); external validation GSE70769 (n=94); own FFPE IHC n=32 (orthogonal, not in ML training)",176,patients,transcriptomics,Bulk microarray expression; four metabolic hub genes in XGBoost-Cox,prognostic_prediction,XGBoost-Cox with grid search and 10-fold CV; SHAP interpretation,"GDPD1, PLA2G7, PTGDS, SRD5A2 metabolic hub genes",Four-gene metabolic BCR risk model,prognostic,AUC,5-year AUC 0.858 training (GSE220095); 0.745 external validation (GSE70769),external_cohort,ComBat harmonization between GEO cohorts; GSE70769 held out for external evaluation; notable AUC drop versus training.,NR,NR,none_stated,NR,NR,Metabolic four-gene XGBoost-Cox model stratified post-RP BCR risk and linked hub genes to M2 macrophage-associated TIME patterns.,NR,In silico EGCG multi-target docking and in vitro binding/suppression assays; IHC on 32 specimens.,REV-ALCIDES-AI,2026-09-23,needs_review,Appraisal flags notable training-to-validation AUC drop (0.858 to 0.745) warranting cautious interpretation.,yes,batch-01
REC-AIBIOGU-000009,Zhang2026,Deep learning based on multiparametric MRI for differentiating benign from malignant PI-RADS 3 prostate lesions: a dual-center study.,2026,Sci Rep,10.1038/s41598-026-56643-x,prostate,,Dual-center retrospective mpMRI deep learning radiomics for PI-RADS 3 lesion classification,own_cohort,"382 PI-RADS 3 patients (Center 1 train n=210, internal val n=90; Center 2 external val n=82)",382,patients,radiology_imaging,mpMRI T2WI/DWI/ADC with ResNet101 deep features plus mRMR-LASSO radiomics,diagnostic_prediction,ResNet101 deep features + LASSO radiomics; combined clinical-DLRS logistic model,Deep learning radiomics signature (DLRS) plus clinical variables in combined model,Combined clinical-DLRS nomogram for malignancy in PI-RADS 3 lesions,diagnostic,AUC,"Combined model AUC 0.951 (train), 0.964 (internal val), 0.925 (Center 2 external)",external_cohort,Center 2 (n=82) used as external validation; Center 1 split 7:3 train/internal validation.,NR,NR,none_stated,NR,NR,Combined deep radiomics-clinical model outperformed clinical-only model for distinguishing malignant versus benign PI-RADS 3 lesions across three cohorts.,NR,Standalone DLRS and clinical models compared; DCA supported clinical utility.,REV-ALCIDES-AI,2026-09-23,complete,,no,batch-01
REC-AIBIOGU-000010,Luo2026,Non-invasive prediction of lymph node involvement in prostate cancer via machine learning on whole-prostate MRI.,2026,Front Oncol,10.3389/fonc.2026.1823708,prostate,,Single-center retrospective MRI radiomics/deep learning DRBN model for preoperative LNI prediction,own_cohort,339 PCa patients post-RP with ePLND; random 7:3 stratified train/validation split by LNI status,339,patients,radiology_imaging,Whole-prostate T2 MRI radiomics and deep learning plus Brigadi-based clinical variables,diagnostic_prediction,"LASSO feature selection then ML comparison (LR, SVM, XGBoost, etc.) with 5-fold CV; DRBN logistic integration",Clinical Brigadi variables plus selected radiomic and deep learning features,DRBN integrated LNI prediction model,diagnostic,AUC,ROC-AUC 0.963 training and 0.920 validation; PR-AUC 0.950 and 0.921 respectively,internal_holdout,Random 7:3 internal split only; no independent external center cohort identified in slice.,NR,NR,none_stated,NR,NR,"Integrating clinical, radiomic, and deep learning MRI features yielded strong LNI discrimination with acceptable calibration and DCA in train and validation splits.",NR,Comparison to clinical-only Brigadi-based model.,REV-ALCIDES-AI,2026-09-23,needs_review,Appraisal flags no external cohort—only internal training/validation split of single-center data.,yes,batch-01
REC-AIBIOGU-000013,Hong2026,Preoperative dual-ROI mpMRI radiomics integrating intratumoral and periprostatic adipose tissue features with clinical factors for predicting positive surgical margins after radical prostatectomy.,2026,Cancer Imaging,10.1186/s40644-026-01034-8,prostate,,Two-center retrospective dual-ROI mpMRI radiomics-clinical nomogram for post-RP PSM prediction,own_cohort,"423 non-metastatic PCa patients (409 center 1, 14 center 2); pooled random 7:3 train (296) / validation (127)",423,patients,radiology_imaging,Intratumoral and PPAT radiomics on T2WI and ADC with LASSO-selected signatures,prognostic_prediction,LASSO radiomics signatures plus multivariable logistic regression nomogram,"TPR combined tumor-PPAT radiomics signature with PSA, ISUP grade, clinical T stage",Dual-ROI TPR radiomics-clinical PSM nomogram,prognostic,AUC,Nomogram AUC 0.908 training and 0.885 validation; TPR signature AUC 0.824 train and 0.816 validation,internal_holdout,Two-center data pooled then randomly split 7:3 rather than center-held-out external validation.,NR,NR,none_stated,NR,NR,Integrating intratumoral and PPAT radiomics with clinical factors improved preoperative PSM prediction versus single-ROI models.,NR,Bootstrap stability and subgroup ROC analyses reported.,REV-ALCIDES-AI,2026-09-23,needs_review,"Appraisal flags validation as random split of pooled two-center data, not a true held-out external cohort.",yes,batch-01
REC-AIBIOGU-000014,Wang2026,"Serum Untargeted Metabolomics Integrated with SHAP-Based Machine Learning for Multiclass Stratification of Prostate Cancer, Prostatitis, and Benign Prostatic Hyperplasia.",2026,Metabolites,10.3390/metabo16040237,prostate,,Public MetaboLights serum untargeted LC-MS multiclass ML with nested CV,other_public,"EMBL-EBI MetaboLights MTBLS6039 (80 serum samples: 20 PCa, 20 prostatitis, 20 BPH, 20 healthy controls)",80,samples,other,Untargeted serum metabolomics (LC-MS),classification_subtyping,Multiclass LASSO feature selection with optimized Random Forest; nested cross-validation,LC-MS metabolite features selected by multiclass LASSO,"Multiclass metabolic signature distinguishing PCa, prostatitis, BPH, and controls",diagnostic,accuracy,Out-of-fold accuracy 93.8%; macro-F1 0.937,internal_cv,Nested cross-validation on single public cohort; authors state no independent external validation.,NR,yes,none_stated,NR,NR,Random Forest on LASSO-selected metabolites achieved strong multiclass separation of major prostate disease groups with SHAP-interpretable modules.,Small sample size and lack of external independent validation cohort.,SHAP-based metabolic module interpretation.,REV-ALCIDES-AI,2026-09-23,needs_review,Appraisal flags n=80 and explicit lack of external validation despite strong nested-CV accuracy.,yes,batch-01
