record_id,study_label,title,year,journal,doi,mmat_category,screen_clear_question,screen_data_address_question,c1,c2,c3,c4,c5,rationale_c1,rationale_c2,rationale_c3,rationale_c4,rationale_c5,mmat_overall,criteria_note,applies_prediction_appraisal,probast_participants,probast_predictors,probast_outcome,probast_analysis,probast_overall_rob,probast_overall_applicability,probast_rationale,tripod_ai_data,tripod_ai_model,tripod_ai_validation,tripod_ai_transparency,tripod_ai_overall,reviewer_id,assessed_at,appraisal_note,pilot_batch
REC-AIBIOGU-000001,Wang2026,Identification of interleukin-11 as a comorbid risk factor for prostate cancer and Alzheimer's disease using integrated bioinformatics and machine learning.,2026,Front Immunol,10.3389/fimmu.2026.1911726,non_randomized,yes,yes,cant_tell,yes,cant_tell,no,yes,Public AD and PCa cohorts are convenience samples not population-representative.,Transcriptomic and clinical endpoints are standard and matched to aims.,PFI and follow-up completeness vary across merged public cohorts.,Comorbidity pairing and batch effects may confound prognostic signature claims.,Computational and lab IL11 manipulations follow stated protocols.,low,MMAT non-randomized (Hong 2018),yes,high,low,unclear,high,high,low concern,Convenience cohorts plus median-split risk score and extensive ML on TCGA.,partial,yes,yes,partial,adequate,REV-ALCIDES,2026-09-21,Borderline: AD comorbidity focus vs GU biomarker scope.,pilot
REC-AIBIOGU-000002,Chen2026,Machine learning-based identification of hub genes and prognostic biomarkers in prostate cancer.,2026,Front Genet,10.3389/fgene.2026.1877595,non_randomized,yes,yes,cant_tell,yes,yes,no,yes,"TCGA-PRAD single public cohort, not population-representative.",RNA-seq expression and clinical BCR endpoints appropriate to aims.,554 samples with reasonably complete clinical annotation from GDC.,No external validation cohort; only internal 70/30 split of same TCGA data risks optimism.,qRT-PCR/ELISA experimental validation followed stated protocols.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,Single-cohort TCGA with internal split only; multi-algorithm (LASSO/RF/SVM/XGBoost) mining typical of corpus.,yes,yes,partial,partial,partial,REV-ALCIDES-AI,2026-09-22,Single-cohort TCGA-PRAD study; no independent external validation cohort despite otherwise thorough nomogram/DCA/immune analyses.,batch-01
REC-AIBIOGU-000003,Kurt2026,Integrative Bioinformatics and Machine Learning Analysis Identifies Novel Molecular Biomarkers in Prostate Adenocarcinoma.,2026,Int J Mol Sci,10.3390/ijms27156635,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"TCGA-PRAD nodal-status subgroup, public convenience cohort.",RNA-seq DEGs and nodal status appropriate to aims.,342 N0 / 78 N1 samples with reasonably complete annotation.,External validation in independent GSE14206 cohort mitigates confounding/overfitting concerns.,Graph-convolutional feature selection and ML pipeline followed stated protocol.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,TCGA discovery + GSE14206 external validation (AUC 0.90-0.95); still high-dimensional multi-algorithm mining typical of omics signatures.,yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
REC-AIBIOGU-000004,He2026,A Platform-Independent Binary Gene-Pair Signature Derived from CRPC-Enriched Single-Cell Transcriptomics for Predicting Recurrence-Free Survival in Prostate Cancer.,2026,Cancer Manag Res,10.2147/cmar.s623563,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"scRNA-seq + TCGA-PRAD training cohort (n=493), public/convenience samples.",Gene-pair binary signature and RFS endpoint appropriate.,1187 patients across training + 5 external cohorts with adequate follow-up.,Benchmarked 12 algorithms/104 combos with 5 independent external validation cohorts; strong confounder handling.,Virtual knockout and pipeline followed stated computational protocol.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,Extensive multi-cohort external validation (C-index avg 0.725 across 5 cohorts) but still platform-independent gene-pair mining with 104 algorithm combinations screened.,yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
REC-AIBIOGU-000007,Gan2026,A Hypoxia and Immune Escape-Related Gene Signature for the Diagnosis of Prostate Cancer: An Integrated Bioinformatics Study.,2026,Int J Med Sci,10.7150/ijms.133397,non_randomized,yes,yes,cant_tell,yes,yes,cant_tell,yes,"TCGA-PRAD single public cohort (554 samples), convenience sample.",WGCNA hub genes and BCR endpoint appropriate.,501 tumor/52 normal samples reasonably complete.,No external validation cohort beyond internal 70/30 TCGA split; risk score derived and validated exclusively within TCGA-PRAD (author-acknowledged limitation).,qRT-PCR and ELISA in cell lines followed stated protocols.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,Single-cohort TCGA study; authors explicitly state external validation in independent cohorts is required before clinical implementation.,yes,yes,partial,partial,partial,REV-ALCIDES-AI,2026-09-22,Authors explicitly acknowledge lack of external validation as a limitation.,batch-01
REC-AIBIOGU-000008,Wang2026,A Metabolic-Related Gene Signature for Predicting Biochemical Recurrence After Radical Prostatectomy: An Integrative Analysis and Targeted Therapeutic Validation.,2026,Int J Mol Sci,10.3390/ijms27114797,non_randomized,yes,yes,cant_tell,yes,yes,no,yes,"Public database-derived cohort (implied TCGA/GEO), convenience sample.",WGCNA + XGBoost-Cox metabolic gene features appropriate to BCR aim.,Reasonably complete training/validation reporting (5-yr AUC given for both).,Only internal training/validation split reported; no genuinely independent external cohort described in accessible text.,IHC on 32 clinical specimens and in vitro EGCG assays followed stated protocols.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,Training AUC 0.858 vs validation AUC 0.745 suggests some optimism; XGBoost-Cox mining with SHAP but no clearly independent external cohort.,yes,yes,partial,partial,partial,REV-ALCIDES-AI,2026-09-22,Notable AUC drop training->validation (0.858->0.745); no clearly independent external cohort identified in extracted text.,batch-01
REC-AIBIOGU-000009,Zhang2026,Deep learning based on multiparametric MRI for differentiating benign from malignant PI-RADS 3 prostate lesions: a dual-center study.,2026,Sci Rep,10.1038/s41598-026-56643-x,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"Dual-center retrospective cohort; potential referral/selection bias, PI-RADS3-only subset.",Deep-learning radiomics features and benign/malignant outcome appropriate.,"382 patients across training/internal/external sets, reasonably complete.",Combined model integrates clinical variables; DeLong tests and calibration performed.,Blinded segmentation and standardized workflow followed protocol.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,"True external validation cohort (Center 2, n=82) present; still retrospective PI-RADS3 subset with radiomics/DL high-dimensional features.",yes,yes,yes,partial,adequate,REV-ALCIDES-AI,2026-09-22,,batch-01
REC-AIBIOGU-000010,Luo2026,Non-invasive prediction of lymph node involvement in prostate cancer via machine learning on whole-prostate MRI.,2026,Front Oncol,10.3389/fonc.2026.1823708,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"Retrospective single/multi-institution cohort (n=339), potential referral bias.",MRI radiomics/DL features and LNI (pathology-confirmed) outcome appropriate.,"339 patients with pathology-confirmed LNI status, reasonably complete.",Composite model built on Briganti nomogram clinical variables plus radiomics/DL; DCA performed.,Standardized MRI segmentation and 5-fold CV followed stated protocol.,moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,Only internal 7:3 split validation (no external cohort); radiomics+DL high-dimensional features risk overfitting despite good AUC (0.92).,yes,yes,partial,partial,partial,REV-ALCIDES-AI,2026-09-22,No external cohort identified — only internal training/validation split.,batch-01
REC-AIBIOGU-000013,Hong2026,Preoperative dual-ROI mpMRI radiomics integrating intratumoral and periprostatic adipose tissue features with clinical factors for predicting positive surgical margins after radical prostatectomy.,2026,Cancer Imaging,10.1186/s40644-026-01034-8,non_randomized,yes,yes,cant_tell,yes,yes,yes,yes,"Two-center retrospective cohort (n=423), pooled and randomly split (not center-stratified external validation).",Dual-ROI mpMRI radiomics and PSM (pathology-confirmed) outcome appropriate.,423 patients with reasonably complete radiomics/clinical data.,"Multivariable logistic regression combining TPR signature with clinical predictors (PSA, ISUP, T stage).","Standardized segmentation, reproducibility filtering, and 1000-iteration bootstrap followed stated protocol.",moderate,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,Random 7:3 split of pooled two-center data (not a true independent external validation by center); high-dimensional radiomics feature selection.,yes,yes,partial,partial,partial,REV-ALCIDES-AI,2026-09-22,Training/validation split is a random split of pooled two-center data rather than a true held-out external cohort.,batch-01
REC-AIBIOGU-000014,Wang2026,"Serum Untargeted Metabolomics Integrated with SHAP-Based Machine Learning for Multiclass Stratification of Prostate Cancer, Prostatitis, and Benign Prostatic Hyperplasia.",2026,Metabolites,10.3390/metabo16040237,non_randomized,yes,yes,cant_tell,yes,yes,no,yes,"Single small public repository (MTBLS6039, n=80), convenience sample.",Serum untargeted metabolomics and multiclass diagnostic categories appropriate.,"Out-of-fold accuracy/macro-F1 reported across nested CV, reasonably complete.",Small sample (n=80) and explicit author-acknowledged lack of external independent validation.,SHAP analysis and nested CV followed stated protocol.,low,MMAT non-randomized (Hong 2018),yes,high,low,low,high,high,low concern,"Small single-dataset sample (n=80); nested CV only, no external validation — authors explicitly flag this limitation.",yes,yes,partial,partial,partial,REV-ALCIDES-AI,2026-09-22,Small sample (n=80); authors explicitly state lack of external independent validation as a limitation.,batch-01
