record_id,title,year,journal,authors,doi,pubmed_id,primary_url,full_text_decision,full_text_exclusion_reason_code,full_text_status,full_text_repo_path
REC-AIBIOGU-000005,IMMUNIA: A Reasoning-Centered Framework for Immunoregulatory Surfaceome Discovery.,2026,ACS Pharmacol Transl Sci,"Park, Namu; Lee, Jung Hyun",10.1021/acsptsci.5c00756,42453343,https://doi.org/10.1021/acsptsci.5c00756,Excluded,wrong outcome,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000005.pdf
REC-AIBIOGU-000024,Enhancing prostate cancer diagnosis: a machine learning-based biomarker approach.,2026,Hum Genomics,"Porras-Quesada, Patricia; Ramírez-Mena, Alberto; Arenas-Rodríguez, Verónica; Vázquez-Alonso, Fernando; Alcalá-Fdez, Jesús; Álvarez-González, Beatriz; Martínez-González, Luis Javier; Álvarez-Cubero, María Jesús",10.1186/s40246-026-00939-6,41736161,https://doi.org/10.1186/s40246-026-00939-6,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000024.pdf
REC-AIBIOGU-000030,AI/ML-Assisted Detection ofRNA Isoforms in Prostate Cancer Patient Tissue.,2025,Int J Mol Sci,"Hwang, Bor-Jang; Akinniyi, Oluwatunmise; Harrison, Sharon; Gibbs, Denise; Waihenya, Charles; Gachii, Andrew; Dike, Precious E; Elliott, Bethtrice; Khalifa, Fahmi; Ragin, Camille; Odero-Marah, Valerie",10.3390/ijms27010196,41516076,https://doi.org/10.3390/ijms27010196,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000030.pdf
REC-AIBIOGU-000085,Nomogram Diagnostic Utility in Prostate Cancer Staging: An Excellent Diagnostic Tool for Prostate Cancer Staging.,2025,Arch Esp Urol,"Wang, Zhaoyin; Wang, Xianyou; Yang, Zhenhua; Ye, Yizhai; Sheng, Aizhu",10.56434/j.arch.esp.urol.20257801.13,39943640,https://doi.org/10.56434/j.arch.esp.urol.20257801.13,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000085.pdf
REC-AIBIOGU-000098,Unmasking Neuroendocrine Prostate Cancer with a Machine Learning-Driven 7-Gene Stemness Signature that Predicts Progression.,2024,medRxiv,"Sabater, Agustina; Sanchis, Pablo; Seniuk, Rocio; Pascual, Gaston; Anselmino, Nicolas; Alonso, Daniel; Cayol, Federico; Vazquez, Elba; Marti, Marcelo; Cotignola, Javier; Toro, Ayelen; Labanca, Estefania; Bizzotto, Juan; Gueron, Geraldine",10.1101/2024.09.24.24314303,39399052,https://doi.org/10.1101/2024.09.24.24314303,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000098.pdf
REC-AIBIOGU-000105,Comparison between Three Radiomics Models and Clinical Nomograms for Prediction of Lymph Node Involvement in PCa Patients Combining Clinical and Radiomic Features.,2024,Cancers (Basel),"Santucci, Domiziana; Ragone, Raffaele; Vergantino, Elva; Vaccarino, Federica; Esperto, Francesco; Prata, Francesco; Scarpa, Roberto Mario; Papalia, Rocco; Beomonte Zobel, Bruno; Grasso, Francesco Rosario; Faiella, Eliodoro",10.3390/cancers16152731,39123458,https://doi.org/10.3390/cancers16152731,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000105.pdf
REC-AIBIOGU-000127,Nomogram to predict the presence of PSMA-negative but FDG-positive lesion in castration-resistant prostate cancer: a multicenter cohort study.,2024,Ther Adv Med Oncol,"Pan, Jian; Zhang, Tingwei; Chen, Shouzhen; Bu, Ting; Zhao, Jinou; Ni, Xudong; Shi, Benkang; Gan, Hualei; Wei, Yu; Wang, Qifeng; Wang, Beihe; Wu, Junlong; Song, Shaoli; Wang, Feng; Liu, Chang; Ye, Dingwei; Zhu, Yao",10.1177/17588359231220506,38188464,https://doi.org/10.1177/17588359231220506,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000127.pdf
REC-AIBIOGU-000141,Development and validation of a clinic machine-learning nomogram for the prediction of risk stratifications of prostate cancer based on functional subsets of peripheral lymphocyte.,2023,J Transl Med,"Yang, Chunguang; Liu, Zhenghao; Fang, Yin; Cao, Xinyu; Xu, Guoping; Wang, Zhihua; Hu, Zhiquan; Wang, Shaogang; Wu, Xinglong",10.1186/s12967-023-04318-w,37438820,https://doi.org/10.1186/s12967-023-04318-w,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000141.pdf
REC-AIBIOGU-000154,Novel cuproptosis-related long non-coding RNA signature to predict prognosis in prostate carcinoma.,2023,BMC Cancer,"Cheng, Xiaofeng; Zeng, Zhenhao; Yang, Heng; Chen, Yujun; Liu, Yifu; Zhou, Xiaochen; Zhang, Cheng; Wang, Gongxian",10.1186/s12885-023-10584-0,36717792,https://doi.org/10.1186/s12885-023-10584-0,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000154.pdf
REC-AIBIOGU-000177,Prostate Cancer Aggressiveness Prediction Using CT Images.,2021,Life (Basel),"Mendes, Bruno; Domingues, Inês; Silva, Augusto; Santos, João",10.3390/life11111164,34833040,https://doi.org/10.3390/life11111164,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000177.pdf
REC-AIBIOGU-000208,A bladder cancer-associated gene signature for exploratory qPCR-based survival stratification in NAC-Treated muscle-invasive bladder cancer.,2026,J Transl Med,"Chen, Xingyu; Sakatani, Toru; Tanaka, Sunao; Contreras-Sanz, Alberto; Black, Peter; Rosser, Charles J; Furuya, Hideki",10.1186/s12967-026-08681-2,42482080,https://doi.org/10.1186/s12967-026-08681-2,Excluded,wrong intervention,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000208.pdf
REC-AIBIOGU-000236,Machine-learning-based determination of sex-related bladder cancer biomarkers.,2025,bioRxiv,"Pizzi, Joseph R; Adhikari, Image; Prakash, Prakyat; Miyamoto, Hiroshi; Cui, Feng",10.64898/2025.12.20.695175,41497606,https://doi.org/10.64898/2025.12.20.695175,Excluded,wrong publication type,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000236.pdf
