record_id,title,year,journal,authors,doi,pubmed_id,primary_url,full_text_decision,full_text_exclusion_reason_code,full_text_status,full_text_repo_path
REC-AIBIOGU-000001,Identification of interleukin-11 as a comorbid risk factor for prostate cancer and Alzheimer's disease using integrated bioinformatics and machine learning.,2026,Front Immunol,"Wang, Mengxue; Qian, Yanrong; Huang, Enyao; Chu, Chunyan; Gao, Tian; Chen, Shengrong; Zhao, Na; Luo, Caichen; Liu, Yifan; Zheng, Xiejunhao; Hu, Haowen; Han, Bowen; Chen, Ming; Mao, Weipu; Li, Wenchao",10.3389/fimmu.2026.1911726,42694488,https://doi.org/10.3389/fimmu.2026.1911726,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000001.pdf
REC-AIBIOGU-000002,Machine learning-based identification of hub genes and prognostic biomarkers in prostate cancer.,2026,Front Genet,"Chen, Guquan; Zhang, Jiefeng; Zhao, Linfu; Zhu, Jianyou",10.3389/fgene.2026.1877595,42643961,https://doi.org/10.3389/fgene.2026.1877595,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000002.pdf
REC-AIBIOGU-000003,Integrative Bioinformatics and Machine Learning Analysis Identifies Novel Molecular Biomarkers in Prostate Adenocarcinoma.,2026,Int J Mol Sci,"Kurt, Hasan Anıl; Kılıçarslan, Sabire; Çiçekliyurt, Meliha Merve; Kılıçarslan, Serhat",10.3390/ijms27156635,42589294,https://doi.org/10.3390/ijms27156635,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000003.pdf
REC-AIBIOGU-000004,A Platform-Independent Binary Gene-Pair Signature Derived from CRPC-Enriched Single-Cell Transcriptomics for Predicting Recurrence-Free Survival in Prostate Cancer.,2026,Cancer Manag Res,"He, Yu; Li, Boyang; Tan, Zhaojie; Jiang, Kuanyao; Ju, Wenyue; Yu, Weidong; Zhang, Meng; Liang, Chaozhao",10.2147/cmar.s623563,42553741,https://doi.org/10.2147/cmar.s623563,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000004.pdf
REC-AIBIOGU-000007,A Hypoxia and Immune Escape-Related Gene Signature for the Diagnosis of Prostate Cancer: An Integrated Bioinformatics Study.,2026,Int J Med Sci,"Gan, Hexia; Jiang, Jiana; Yang, Jiebin; Shen, Feng; Lu, Weihong; Lai, Peng; Chen, Lingyu; Xu, Zhibing; Zhang, Jianping; Guo, Jianming; Chao, Fan",10.7150/ijms.133397,42328119,https://doi.org/10.7150/ijms.133397,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000007.pdf
REC-AIBIOGU-000008,A Metabolic-Related Gene Signature for Predicting Biochemical Recurrence After Radical Prostatectomy: An Integrative Analysis and Targeted Therapeutic Validation.,2026,Int J Mol Sci,"Wang, Wankun; Hong, Xiujuan; Wang, Xiaoqi; Jiao, Ganpei; Cai, Hongjie; Zhao, Junxiang; Wu, Zhibing; Chen, Jun",10.3390/ijms27114797,42278330,https://doi.org/10.3390/ijms27114797,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000008.pdf
REC-AIBIOGU-000009,Deep learning based on multiparametric MRI for differentiating benign from malignant PI-RADS 3 prostate lesions: a dual-center study.,2026,Sci Rep,"Zhang, He; Zheng, Yongfei; Ao, WeiQun; Ding, Jingfeng; Liu, Binghui; Huang, He; Zhang, GuoHua; Huang, Danjiang",10.1038/s41598-026-56643-x,42249012,https://doi.org/10.1038/s41598-026-56643-x,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000009.pdf
REC-AIBIOGU-000010,Non-invasive prediction of lymph node involvement in prostate cancer via machine learning on whole-prostate MRI.,2026,Front Oncol,"Luo, Yun; Liu, Bohao; Qin, Peng; Lin, Zhengxu; Lin, Tianxin; Wang, Yujie",10.3389/fonc.2026.1823708,42200010,https://doi.org/10.3389/fonc.2026.1823708,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000010.pdf
REC-AIBIOGU-000013,Preoperative dual-ROI mpMRI radiomics integrating intratumoral and periprostatic adipose tissue features with clinical factors for predicting positive surgical margins after radical prostatectomy.,2026,Cancer Imaging,"Hong, De-Shi; Wu, Xiao-Hui; Ruan, Chao-Xia; Pan, Dong-Shan; Huang, Xu-Feng; Yang, En-Ming; Wang, Jun-Long; Wang, Fei; Li, Kang; Lin, Jie-Bin; Yang, Le-Le; Chen, Shao-Hao; Wang, Shi-Xian",10.1186/s40644-026-01034-8,42129924,https://doi.org/10.1186/s40644-026-01034-8,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000013.pdf
REC-AIBIOGU-000014,"Serum Untargeted Metabolomics Integrated with SHAP-Based Machine Learning for Multiclass Stratification of Prostate Cancer, Prostatitis, and Benign Prostatic Hyperplasia.",2026,Metabolites,"Wang, Zijie; Xin, Jialu; He, Qiuyan; Xu, Shutong; Wu, Jinghan; Yang, Fang; Dong, Liang",10.3390/metabo16040237,42042882,https://doi.org/10.3390/metabo16040237,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000014.pdf
REC-AIBIOGU-000015,Network toxicology & molecular docking: endocrine-disrupting chemicals induce prostate cancer - a system study.,2026,Int J Clin Exp Pathol,"Zhou, Yuan; Zhou, Gui-Ming; Zhang, Yu-Jie; Deng, Chao-Hua; Li, Zhi-Shen; Hu, Xiao-Dong",10.62347/pgnw5316,42005273,https://doi.org/10.62347/pgnw5316,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000015.pdf
REC-AIBIOGU-000016,A novel prognostic signature based on mitochondrial permeability transition-driven necrosis genes for biochemical recurrence prediction in prostate cancer.,2026,Front Oncol,"Luo, Xing; Huang, Zeyu; Deng, Ming; Liu, Jinggui; Sun, Bishao; Zhu, Jingzheng; Chen, Yu; Su, Shuai; Zhao, Jiang; Zheng, Ji",10.3389/fonc.2026.1775602,42003973,https://doi.org/10.3389/fonc.2026.1775602,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000016.pdf
REC-AIBIOGU-000017,Development and validation of an MRI radiomics-based model for predicting progression risk in prostate cancer after endocrine therapy.,2026,Transl Androl Urol,"Ding, Ke; Chen, Qiong; Huang, Lifeng; Huang, Ruisui; Liu, Manrong; Gong, Mofeng; Huang, Haibo",10.21037/tau-2025-1-912,41971132,https://doi.org/10.21037/tau-2025-1-912,Included,,retrieved,reviews/AIBIO_GU/screening/full_text/REC-AIBIOGU-000017.pdf
