source	ext_id	title	pub_year	journal	authors	citation_type	direction	n_seeds	seed_record_ids	dedup_status	matched_record_id	pcc_gu	pcc_ai	pcc_pass
MED	7715008	Neural network analysis of quantitative histological factors to predict pathological stage in clinical stage I nonseminomatous testicular cancer.	1995	J Urol	Moul JW, Snow PB, Fernandez EB, Maher PD, Sesterhenn IA.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	in_corpus	REC-AIBIOGU-000632	yes	yes	no
MED	30652572	Applying Radiomics to Predict Pathology of Postchemotherapy Retroperitoneal Nodal Masses in Germ Cell Tumors.	2018	JCO Clin Cancer Inform	Lewin J, Dufort P, Halankar J, O'Malley M, Jewett MAS, Hamilton RJ, Gupta A, Lorenzo A, Traubici J, Nayan M, Leao R, Warde P, Chung P, Anson Cartwright L, Sweet J, Hansen AR, Metser U, Bedard PL.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000585	in_corpus	REC-AIBIOGU-000696	yes	yes	no
MED	30518631	Deep learning for detecting tumour-infiltrating lymphocytes in testicular germ cell tumours.	2018	J Clin Pathol	Linder N, Taylor JC, Colling R, Pell R, Alveyn E, Joseph J, Protheroe A, Lundin M, Lundin J, Verrill C.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	in_corpus	REC-AIBIOGU-000627	yes	yes	no
MED	29535336	Tissue Phenomics for prognostic biomarker discovery in low- and intermediate-risk prostate cancer.	2018	Sci Rep	Harder N, Athelogou M, Hessel H, Brieu N, Yigitsoy M, Zimmermann J, Baatz M, Buchner A, Stief CG, Kirchner T, Binnig G, Schmidt G, Huss R.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000623	in_corpus	REC-AIBIOGU-000199	yes	no	no
MED	30980695	A predictive nomogram for individualized recurrence stratification of bladder cancer using multiparametric MRI and clinical risk factors.	2019	J Magn Reson Imaging	Xu X, Wang H, Du P, Zhang F, Li S, Zhang Z, Yuan J, Liang Z, Zhang X, Guo Y, Liu Y, Lu H.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000274	in_corpus	REC-AIBIOGU-000367	yes	no	no
MED	31396730	A radiogenomics signature for predicting the clinical outcome of bladder urothelial carcinoma.	2019	Eur Radiol	Lin P, Wen DY, Chen L, Li X, Li SH, Yan HB, He RQ, Chen G, He Y, Yang H.	JOURNAL ARTICLE	both	2	REC-AIBIOGU-000274;REC-AIBIOGU-000368	in_corpus	REC-AIBIOGU-000366	yes	yes	no
MED	31469418	Development of a noninvasive tool to preoperatively evaluate the muscular invasiveness of bladder cancer using a radiomics approach.	2019	Cancer	Zheng J, Kong J, Wu S, Li Y, Cai J, Yu H, Xie W, Qin H, Wu Z, Huang J, Lin T.	research support, non-u.s. gov't; journal article	forward	1	REC-AIBIOGU-000368	in_corpus	REC-AIBIOGU-000365	yes	yes	no
MED	31249104	Multi-omics Biomarker Pipeline Reveals Elevated Levels of Protein-glutamine Gamma-glutamyltransferase 4 in Seminal Plasma of Prostate Cancer Patients.	2019	Mol Cell Proteomics	Drabovich AP, Saraon P, Drabovich M, Karakosta TD, Dimitromanolakis A, Hyndman ME, Jarvi K, Diamandis EP.	research support, non-u.s. gov't; research-article; journal article	forward	1	REC-AIBIOGU-000200	in_corpus	REC-AIBIOGU-000197	yes	yes	no
MED	31828413	Radiomics allows for detection of benign and malignant histopathology in patients with metastatic testicular germ cell tumors prior to post-chemotherapy retroperitoneal lymph node dissection.	2019	Eur Radiol	Baessler B, Nestler T, Pinto Dos Santos D, Paffenholz P, Zeuch V, Pfister D, Maintz D, Heidenreich A.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000585	in_corpus	REC-AIBIOGU-000626	yes	yes	no
MED	31850216	T2-Weighted Image-Based Radiomics Signature for Discriminating Between Seminomas and Nonseminoma.	2019	Front Oncol	Zhang P, Feng Z, Cai W, You H, Fan C, Lv W, Min X, Wang L.	JOURNAL ARTICLE	both	2	REC-AIBIOGU-000585;REC-AIBIOGU-000696	in_corpus	REC-AIBIOGU-000695	yes	yes	no
