hit_key	source	ext_id	title	pub_year	journal	doi	decision	exclusion_reason_code	note	screen_source
MED:1604756	MED	1604756	Segmenting ultrasound images of the prostate using neural networks.	1992	Ultrason Imaging	10.1177/016173469201400205	Excluded	wrong outcome	A neural network only segments prostate versus nonprostate ultrasound regions and does not derive a biomarker.	batch-01
MED:9683301	MED	9683301	Neural network analysis of combined conventional and experimental prognostic markers in prostate cancer: a pilot study.	1998	Br J Cancer	10.1038/bjc.1998.472	Excluded	wrong intervention	The network predicts outcome from routine clinical factors plus pre-specified bcl-2 and p53 staining rather than discovering a new biomarker.	batch-01
MED:9679892	MED	9679892	Novel staging tool for localized prostate cancer: a pilot study using genetic adaptive neural networks.	1998	J Urol	10.1016/s0022-5347(01)62916-1	Excluded	wrong intervention	The staging network uses only serum PSA, biopsy findings, and Gleason score to predict extracapsular disease.	batch-01
MED:11113746	MED	11113746	A neural network predicts progression for men with gleason score 3+4 versus 4+3 tumors after radical prostatectomy.	2000	Urology	10.1016/s0090-4295(00)00815-3	Excluded	wrong intervention	The network predicts biochemical recurrence from Gleason 3+4 versus 4+3 status and other routine pathologic and clinical variables.	batch-01
MED:11185421	MED	11185421	Machine learning for survival analysis: a case study on recurrence of prostate cancer.	2000	Artif Intell Med	10.1016/s0933-3657(00)00053-1	Excluded	wrong intervention	This methods paper applies machine learning to clinical recurrence prediction and does not discover a new biomarker.	batch-01
MED:10647699	MED	10647699	Neural network analysis of clinicopathological and molecular markers in bladder cancer.	2000	J Urol	10.1016/s0022-5347(05)67948-7	Not_recovered		Full text not recovered 2026-09-23. No open-access PDF (J Urol 2000).	maybe_ft_2026-09-23
MED:11113747	MED	11113747	Performance of a neural network in detecting prostate cancer in the prostate-specific antigen reflex range of 2.5 to 4.0 ng/mL.	2000	Urology	10.1016/s0090-4295(00)00830-x	Excluded	wrong intervention	The detection index combines age with established serum markers (PSA, free PSA, prostatic acid phosphatase, and creatine kinase) and does not discover a new biomarker.	batch-01
MED:11248624	MED	11248624	Artificial neural network model for the assessment of lymph node spread in patients with clinically localized prostate cancer.	2001	Urology	10.1016/s0090-4295(00)01039-6	Excluded	wrong intervention	Lymph-node prediction uses only clinical stage, biopsy Gleason sum, and PSA.	batch-01
TITLE:Evaluation of artificial neural networks for the prediction of pathologic stage in prostate carcinoma			Evaluation of artificial neural networks for the prediction of pathologic stage in prostate carcinoma	2001	Cancer	10.1002/1097-0142(20010415)91:8+<1661::aid-cncr1180>3.3.co;2-x	Excluded	wrong intervention	Pathologic-stage prediction uses age, PSA, clinical stage, and biopsy Gleason score, the same established inputs as a clinical nomogram.	batch-01
MED:11790278	MED	11790278	Genetic adaptive neural network to predict biochemical failure after radical prostatectomy: a multi-institutional study.	2001	Mol Urol	10.1089/10915360152745849	Excluded	wrong intervention	Biochemical-recurrence prediction uses routinely collected preoperative variables (age, race, PSA, biopsy stage, and Gleason score).	batch-01
MED:12012294	MED	12012294	Artificial neural networks for diagnosis and prognosis in prostate cancer.	2002	Semin Urol Oncol	10.1053/suro.2002.32492	Excluded	wrong publication type	This is a topical review of neural-network applications in prostate-cancer diagnosis and prognosis, kept for context rather than as an included primary study.	batch-01
MED:12508689	MED	12508689	Neural network-based segmentation and classification system for automated grading of histologic sections of bladder carcinoma.	2002	Anal Quant Cytol Histol		Excluded	wrong outcome	The system segments nuclei and assigns WHO grade to bladder-cancer sections without deriving a new biomarker.	batch-01
MED:11844812	MED	11844812	Novel artificial neural network for early detection of prostate cancer.	2002	J Clin Oncol	10.1200/jco.2002.20.4.921	Excluded	wrong intervention	Early-detection networks use standard PSA parameters to decide on biopsy and do not discover a new biomarker.	batch-01
MED:12946746	MED	12946746	An artificial neural network to predict the outcome of repeat prostate biopsies.	2003	Urology	10.1016/s0090-4295(03)00409-6	Excluded	wrong intervention	Repeat-biopsy prediction combines age, PSA derivatives, digital rectal examination, and ultrasound volumes rather than a new biomarker.	batch-01
MED:14519642	MED	14519642	Artificial intelligence in predicting bladder cancer outcome: a comparison of neuro-fuzzy modeling and artificial neural networks.	2003	Clin Cancer Res		Excluded	wrong intervention	Relapse models use pre-specified p53 and mismatch-repair immunostaining plus conventional clinicopathological variables.	batch-01
MED:16985612	MED	16985612	Artificial neural networks for decision-making in urologic oncology.	2003	Rev Urol	10.1016/s0302-2838(03)00133-7	Excluded	wrong publication type	This is a topical overview of neural networks for urologic-oncology decisions, kept for context rather than as an included primary study.	batch-01
