source	ext_id	title	pub_year	journal	authors	citation_type	direction	n_seeds	seed_record_ids	dedup_status	matched_record_id	pcc_gu	pcc_ai	pcc_pass
MED	1604756	Segmenting ultrasound images of the prostate using neural networks.	1992	Ultrason Imaging	Prater JS, Richard WD.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	9683301	Neural network analysis of combined conventional and experimental prognostic markers in prostate cancer: a pilot study.	1998	Br J Cancer	Naguib RN, Robinson MC, Neal DE, Hamdy FC.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	9679892	Novel staging tool for localized prostate cancer: a pilot study using genetic adaptive neural networks.	1998	J Urol	Tewari A, Narayan P.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	11113746	A neural network predicts progression for men with gleason score 3+4 versus 4+3 tumors after radical prostatectomy.	2000	Urology	Han M, Snow PB, Epstein JI, Chan TY, Jones KA, Walsh PC, Partin AW.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	11185421	Machine learning for survival analysis: a case study on recurrence of prostate cancer.	2000	Artif Intell Med	Zupan B, Demsar J, Kattan MW, Beck JR, Bratko I.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000012	new		yes	yes	yes
MED	10647699	Neural network analysis of clinicopathological and molecular markers in bladder cancer.	2000	J Urol	Qureshi KN, Naguib RN, Hamdy FC, Neal DE, Mellon JK.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	11113747	Performance of a neural network in detecting prostate cancer in the prostate-specific antigen reflex range of 2.5 to 4.0 ng/mL.	2000	Urology	Babaian RJ, Fritsche H, Ayala A, Bhadkamkar V, Johnston DA, Naccarato W, Zhang Z.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	11248624	Artificial neural network model for the assessment of lymph node spread in patients with clinically localized prostate cancer.	2001	Urology	Batuello JT, Gamito EJ, Crawford ED, Han M, Partin AW, McLeod DG, ODonnell C.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
		Evaluation of artificial neural networks for the prediction of pathologic stage in prostate carcinoma	2001	Cancer	Han		backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
MED	11790278	Genetic adaptive neural network to predict biochemical failure after radical prostatectomy: a multi-institutional study.	2001	Mol Urol	Tewari A, Issa M, El-Galley R, Stricker H, Peabody J, Pow-Sang J, Shukla A, Wajsman Z, Rubin M, Wei J, Montie J, Demers R, Johnson CC, Lamerato L, Divine GW, Crawford ED, Gamito EJ, Farah R, Narayan P, Carlson G, Menon M.	JOURNAL ARTICLE	backward	1	REC-AIBIOGU-000629	new		yes	yes	yes
